gender,ethnicity,fcollege,mcollege,home,urban,income,region,distance,education
male,black,yes,no,yes,urban,92789,north,383.59742655428585,11
female,black,yes,yes,no,rural,81389,east,411.3951759383466,12
male,asian,no,yes,yes,rural,29435,west,372.105828471649,16
male,black,no,no,no,rural,74340,south,340.5197135484545,15
male,black,no,no,yes,rural,64078,east,118.75323564623497,11
female,asian,yes,yes,yes,urban,98832,west,200.11144643601241,15
male,asian,yes,yes,no,urban,71293,west,238.85744544011385,11
male,white,no,no,yes,rural,98781,east,41.445660846677114,11
male,other,no,no,no,urban,80403,south,264.1850606486046,11
female,other,no,no,yes,urban,49124,east,218.167915803278,12
male,black,no,no,no,rural,63919,west,401.05462451336706,11
male,other,yes,yes,yes,urban,55247,north,488.95033437713545,13
male,black,no,no,no,rural,82752,north,278.00251932129225,18
male,white,yes,no,yes,urban,76573,east,161.34319413879183,15
female,asian,no,yes,no,rural,79101,west,21.70039164908638,10
male,asian,yes,no,yes,rural,46646,north,462.321665111798,17
female,asian,no,yes,no,rural,43049,west,459.5578576393297,16
female,other,no,no,no,rural,99605,east,126.49508399462056,19
female,white,no,no,no,urban,88385,north,347.7055615533238,12
male,other,no,no,yes,rural,60158,west,37.717273544884634,10
female,other,yes,yes,no,rural,85417,north,83.10771595462646,14
male,white,no,yes,yes,rural,43289,east,108.40455329324561,13
female,white,yes,no,no,urban,29823,west,147.24697341971492,19
female,white,yes,yes,yes,rural,80160,north,497.9156875146854,17
female,white,yes,yes,no,urban,61975,east,348.4625279319074,10
female,asian,yes,yes,yes,rural,29540,north,192.10091568960996,19
female,hispanic,no,yes,yes,urban,36364,north,368.5503529215096,10
female,hispanic,yes,yes,no,urban,24611,south,457.62717083455317,13
female,white,yes,yes,yes,rural,47663,south,479.3512037039231,17
female,hispanic,yes,no,yes,urban,71991,east,28.931948878853696,14
male,hispanic,no,no,no,rural,77679,south,197.26089930406494,11
male,white,no,yes,yes,rural,50977,east,53.37803296794219,15
female,hispanic,no,no,yes,rural,69115,south,167.8300323984816,14
female,other,no,no,yes,urban,80890,north,84.83995194778277,11
female,black,yes,no,no,urban,86387,east,323.4241808343619,12
male,black,yes,no,yes,rural,38071,east,194.1341919949361,18
female,white,no,yes,no,rural,79275,north,114.69737285247483,16
male,asian,yes,no,yes,urban,92369,east,132.96896248211948,16
