rownames,score,unemp,wage,tuition,education,gender_female,gender_male,ethnicity_afam,ethnicity_hispanic,ethnicity_other,fcollege_no,fcollege_yes,mcollege_no,mcollege_yes,home_no,home_yes,urban_no,urban_yes,income_high,income_low,region_other,region_west,target
1,39.150001525878906,6.199999809265137,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,0
2,48.869998931884766,6.199999809265137,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
3,48.7400016784668,6.199999809265137,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
4,40.400001525878906,6.199999809265137,8.09000015258789,0.8891500234603882,12,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,True,False,0
5,40.47999954223633,5.599999904632568,8.09000015258789,0.8891500234603882,13,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,0
6,54.709999084472656,5.599999904632568,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
7,56.06999969482422,7.199999809265137,8.850000381469727,0.8498799800872803,13,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
8,54.849998474121094,7.199999809265137,8.850000381469727,0.8498799800872803,15,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
9,64.73999786376953,5.900000095367432,8.09000015258789,0.8891500234603882,13,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,1
10,56.060001373291016,5.900000095367432,8.09000015258789,0.8891500234603882,15,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,1
11,42.220001220703125,5.900000095367432,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,1
12,61.18000030517578,5.900000095367432,8.09000015258789,0.8891500234603882,14,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False,True,False,1
13,59.849998474121094,7.199999809265137,8.850000381469727,0.8498799800872803,15,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
14,58.77000045776367,7.199999809265137,8.850000381469727,0.8498799800872803,17,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
15,53.720001220703125,7.199999809265137,8.850000381469727,0.8498799800872803,14,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,True,False,0
16,61.52000045776367,7.199999809265137,8.850000381469727,0.8498799800872803,15,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
17,52.529998779296875,7.199999809265137,8.850000381469727,0.8498799800872803,12,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,0
18,45.0099983215332,7.199999809265137,8.850000381469727,0.8498799800872803,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
19,57.709999084472656,7.199999809265137,8.850000381469727,0.8498799800872803,16,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
20,59.36000061035156,7.199999809265137,8.850000381469727,0.8498799800872803,16,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,0
21,50.93000030517578,7.699999809265137,7.039999961853027,0.902999997138977,13,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
22,59.560001373291016,7.699999809265137,7.039999961853027,0.902999997138977,14,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
23,58.459999084472656,7.699999809265137,7.039999961853027,0.902999997138977,13,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,0
24,55.70000076293945,7.699999809265137,7.039999961853027,0.902999997138977,16,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,0
25,60.810001373291016,7.699999809265137,7.039999961853027,0.902999997138977,15,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
26,40.599998474121094,5.400000095367432,8.850000381469727,0.8498799800872803,12,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,True,False,0
27,49.9900016784668,5.400000095367432,8.850000381469727,0.8498799800872803,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
28,59.689998626708984,5.099999904632568,8.850000381469727,0.8498799800872803,15,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
29,60.33000183105469,5.099999904632568,8.850000381469727,0.8498799800872803,16,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
30,60.13999938964844,5.099999904632568,8.850000381469727,0.8498799800872803,12,True,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,0
31,68.58000183105469,5.099999904632568,8.850000381469727,0.8498799800872803,16,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,0
32,42.61000061035156,5.099999904632568,8.850000381469727,0.8498799800872803,12,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
33,58.65999984741211,5.099999904632568,8.850000381469727,0.8498799800872803,16,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,0
34,58.13999938964844,5.099999904632568,8.850000381469727,0.8498799800872803,14,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
35,58.95000076293945,5.099999904632568,8.850000381469727,0.8498799800872803,16,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
36,49.369998931884766,5.400000095367432,8.850000381469727,0.8498799800872803,17,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
37,47.25,5.400000095367432,8.850000381469727,0.8498799800872803,16,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,0
38,61.029998779296875,6.199999809265137,8.09000015258789,0.8891500234603882,14,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,0
39,54.349998474121094,6.199999809265137,8.09000015258789,0.8891500234603882,15,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,0
40,68.12000274658203,6.199999809265137,8.09000015258789,0.8891500234603882,15,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,0
41,70.0999984741211,6.199999809265137,8.09000015258789,0.8891500234603882,17,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
42,58.61000061035156,6.199999809265137,8.09000015258789,0.8891500234603882,15,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,0
43,48.56999969482422,6.199999809265137,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
44,51.11000061035156,6.199999809265137,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
45,39.40999984741211,6.199999809265137,8.09000015258789,0.8891500234603882,15,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
46,54.97999954223633,7.199999809265137,7.039999961853027,0.902999997138977,16,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
47,41.59000015258789,7.199999809265137,7.039999961853027,0.902999997138977,12,True,False,True,False,False,False,True,False,True,True,False,True,False,False,True,True,False,0
48,55.31999969482422,7.199999809265137,7.039999961853027,0.902999997138977,13,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
49,42.22999954223633,7.199999809265137,7.039999961853027,0.902999997138977,12,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,0
50,62.0,7.199999809265137,7.039999961853027,0.902999997138977,16,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
51,49.650001525878906,7.199999809265137,7.039999961853027,0.902999997138977,15,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,0
52,44.959999084472656,7.199999809265137,7.039999961853027,0.902999997138977,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
53,37.310001373291016,7.199999809265137,7.039999961853027,0.902999997138977,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
54,39.869998931884766,7.199999809265137,7.039999961853027,0.902999997138977,12,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
55,56.439998626708984,5.400000095367432,8.850000381469727,0.8498799800872803,16,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
